"Data Source,""World Development Indicators"","																														
																														
"Last Updated Date,""2017-04-27"","																														
																														
Country Name	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Afghanistan	AFG	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD													1088.031929	1126.420358	1090.23547	1167.359685	1193.852799	1321.477595	1335.591449	1576.02987	1662.803526	1712.58872	1899.299559	1876.190879	1844.021503	1808.126028	
Albania	ALB	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	4557.407968	3228.31871	3014.103019	3323.675092	3621.704963	4128.816969	4532.622719	4066.738844	4461.09238	5095.563076	5470.017594	5960.026568	6230.874357	6615.318213	7022.310746	7462.137421	7917.200321	8447.917006	9154.019063	9524.648957	9927.175947	10209.20099	10370.3549	10498.47923	10698.5247	11015.16388	
Algeria	DZA	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	10236.53447	9869.211349	9815.231568	9399.867571	9126.074174	9295.14036	9509.265026	9460.79309	9796.075058	9968.364456	10210.69591	10382.47749	10827.73926	11462.60158	11801.81684	12329.72579	12358.56976	12584.25748	12678.0819	12670.01359	12899.31588	13026.1917	13206.00852	13306.12018	13544.91331	13795.24329	
American Samoa	ASM	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD																											
Andorra	AND	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD																											
Angola	AGO	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	4806.430166	4606.23337	4152.031782	3024.921808	3031.36471	3245.482953	3506.244904	3679.883481	3823.404538	3835.287004	3831.000021	3863.362439	3473.173569	3528.03564	3775.235422	4310.756005	5028.169446	5957.757227	6555.964814	6492.359387	6492.176815	6524.481181	6636.038799	6857.672603	6955.960047	6937.631046	
Antigua and Barbuda	ATG	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	17153.72226	17361.14238	17226.3156	17753.49297	18399.76864	17167.17532	17829.57551	18186.27053	18482.7541	18780.13632	19318.71849	18388.09088	18675.60495	19566.32938	20395.48254	21414.22969	24016.31114	26007.82468	25735.71475	22388.95686	20567.35934	19987.92414	20541.27416	20291.4916	21011.81136	21660.22167	
Arab World	ARB	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	10053.44849	9561.15324	9880.781361	9992.340606	10048.70565	10023.86347	10277.66855	10545.75865	10921.20087	11072.85929	11372.01327	11397.22173	11318.53064	11454.98815	12277.4577	12727.12975	13295.00004	13704.96764	14223.48428	14159.27001	14490.30356	14577.1356	15018.01137	15206.06962	15298.13708	15451.3437	
Argentina	ARG	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	10815.71479	12015.62638	13266.05365	13861.94821	14481.10862	13893.52107	14485.50728	15479.38086	15894.56332	15186.136	14899.86964	14085.5654	12412.58207	13361.36656	14410.12	15518.67732	16592.32361	17900.8501	18437.10399	17168.70128	18712.52336	19629.94701	19225.5663	19482.9327	18798.19917	19101.74174	
Armenia	ARM	GDP per capita, PPP (constant 2011 international $)	NY.GDP.PCAP.PP.KD	3735.543092	3329.275304	1972.697648	1841.719068	1988.215207	2169.431028	2332.680564	2437.629356	2636.324746	2740.169615	2918.557686	3214.257186	3653.365148	4181.185327	4634.79778	5296.814128	6021.364007	6881.444652	7388.626636	6362.21471	6507.914402	6803.482997	7267.976528	7473.060679	7706.132934	7906.916569	
